Body 65 : -22783.658279	-120110.346119	0.000000	|	-0.784545	-4.067631	0.000000
Body 66 : -20385.687110	54435.406330	0.000000	|	-0.694189	1.806551	0.000000
Body 67 : 31754.879184	-162816.312989	0.000000	|	1.075886	-5.554576	0.000000
Body 68 : 807102.895432	-511867.725675	0.000000	|	27.254548	-17.311218	0.000000
Body 69 : 41987.514856	-8536.621103	0.000000	|	1.382392	-0.294087	0.000000
Body 70 : 1504829.114689	774279.366423	0.000000	|	50.193317	25.830356	0.000000
Body 71 : -398617.338776	-2648549.206144	0.000000	|	-13.508563	-89.731361	0.000000
Body 72 : -31968.676804	-43853.377084	0.000000	|	-1.091224	-1.486247	0.000000
Body 73 : -99773.448879	-112798.287317	0.000000	|	-3.337240	-3.780388	0.000000
Body 74 : -90748.554743	118160.198738	0.000000	|	-3.060825	3.965597	0.000000
Body 75 : -58799.714381	-21920.813088	0.000000	|	-2.142691	-0.777173	0.000000
Body 76 : 181517.748670	746552.517320	0.000000	|	6.053396	24.931811	0.000000
Body 77 : -244592.684448	-261239.105693	0.000000	|	-8.168600	-8.729637	0.000000
Body 78 : 84483.929053	-35686.103913	0.000000	|	2.890350	-1.296166	0.000000
Body 79 : 36677.750201	8430.831030	0.000000	|	1.205953	0.274210	0.000000
Body 80 : 114451.157863	-66900.415142	0.000000	|	3.843447	-2.258074	0.000000
Body 81 : 37270.641857	16297.005034	0.000000	|	1.226716	0.524033	0.000000
Body 82 : 2736.312851	34119.179149	0.000000	|	0.091395	1.105411	0.000000
Body 83 : 72237.831396	-25099.228906	0.000000	|	2.397687	-0.873722	0.000000
Body 84 : -4322.306196	16063.671252	0.000000	|	-0.158727	0.541399	0.000000
Body 85 : 52644.331922	-32956.596258	0.000000	|	1.749508	-1.119024	0.000000
Body 86 : 16614.866223	-66796.285131	0.000000	|	0.550988	-2.238273	0.000000
Body 87 : 32174.917650	-134069.028934	0.000000	|	1.073596	-4.511040	0.000000
Body 88 : -31896.836487	18736.946597	0.000000	|	-1.113167	0.660405	0.000000
Body 89 : 10105.977485	-15266.529016	0.000000	|	0.327286	-0.518906	0.000000
Body 90 : -29704.297167	-15817.417245	0.000000	|	-1.011229	-0.543746	0.000000
Body 91 : 336779.935560	176784.887191	0.000000	|	11.407548	5.971867	0.000000
Body 92 : 4723.482942	-13722.281719	0.000000	|	0.111254	-0.489442	0.000000
Body 93 : -20466.841583	8164.140243	0.000000	|	-0.618937	0.285165	0.000000
Body 94 : 1561763.143344	218891.340312	0.000000	|	52.180782	7.315975	0.000000
Body 95 : 8072.607763	-97454.510052	0.000000	|	0.229120	-3.287729	0.000000
Body 96 : -281610.671604	394188.777290	0.000000	|	-9.406856	13.162615	0.000000
Body 97 : 13836.908198	-27595.379809	0.000000	|	0.515154	-0.864684	0.000000
Body 98 : 12863.215082	-28029.119269	0.000000	|	0.395077	-0.998555	0.000000
Body 99 : 20541.835895	-12138.707582	0.000000	|	0.671428	-0.416150	0.000000
Body 100 : 437489.758499	-319193.200092	0.000000	|	14.590782	-10.666557	0.000000
Body 101 : -60970.164761	-51856.451546	0.000000	|	-2.086755	-1.757601	0.000000
Body 102 : 111872.518916	-77806.331904	0.000000	|	3.715995	-2.612071	0.000000
Body 103 : -19725.652173	14626.856463	0.000000	|	-0.673526	0.504168	0.000000
Body 104 : 10038.590841	4359.166691	0.000000	|	0.174023	0.088076	0.000000
Body 105 : -95539.081245	-65450.637315	0.000000	|	-3.232034	-2.216191	0.000000
Body 106 : -71191.537186	-49631.671481	0.000000	|	-2.395768	-1.658555	0.000000
Body 107 : 52905.971101	23618.417328	0.000000	|	1.773190	0.778889	0.000000
Body 108 : 68971.139215	-10139.555593	0.000000	|	2.310465	-0.379132	0.000000
Body 109 : 84444.302539	-134416.115682	0.000000	|	2.814781	-4.487723	0.000000
Body 110 : -128870.262923	-116703.253422	0.000000	|	-4.411707	-4.021787	0.000000
Body 111 : -1025033.871017	-2860501.923641	0.000000	|	-34.312945	-95.690208	0.000000
Body 112 : 35772.603001	197824.431038	0.000000	|	1.197803	6.681080	0.000000
Body 113 : -8904.894297	-6414.579539	0.000000	|	-0.223290	-0.195337	0.000000
Body 114 : -12513.238913	3070.844266	0.000000	|	-0.456619	0.101097	0.000000
Body 115 : 76808.029938	-32702.031303	0.000000	|	2.563014	-1.172053	0.000000
Body 116 : -44298.903026	-30258.987882	0.000000	|	-1.484295	-1.038129	0.000000
Body 117 : 84765.363998	15996.722917	0.000000	|	2.880579	0.534788	0.000000
Body 118 : 3983080.382255	-457211.377357	0.000000	|	132.816125	-15.267995	0.000000
Body 119 : 31204.059378	-48876.128210	0.000000	|	1.018548	-1.649363	0.000000
Body 120 : -2800581.394514	-717888.009953	0.000000	|	-93.578272	-23.991711	0.000000
Body 121 : -75363.762375	218929.527052	0.000000	|	-2.528551	7.275961	0.000000
Body 122 : -9867.186382	10141.844290	0.000000	|	-0.379997	0.324228	0.000000
Body 123 : -85896.905981	104971.973346	0.000000	|	-2.909104	3.523929	0.000000
Body 124 : 55160.706658	23402.781074	0.000000	|	1.824853	0.765226	0.000000
Body 125 : -176910.133736	206383.717593	0.000000	|	-5.918173	6.871655	0.000000
Body 126 : 55615.558776	-6687.534997	0.000000	|	1.867942	-0.202668	0.000000
Body 127 : -3513.768055	-13639.533805	0.000000	|	-0.126809	-0.507392	0.000000
Body 128 : 227860.577643	580515.375079	0.000000	|	7.677728	19.594264	0.000000
Body 129 : 55853.370885	-6878.344329	0.000000	|	1.785893	-0.285220	0.000000
Body 130 : -157422.986819	2265.009006	0.000000	|	-5.282373	0.052857	0.000000
Body 131 : -159703.118798	-87440.609668	0.000000	|	-5.355096	-2.945767	0.000000
Body 132 : -323304.859070	188630.865635	0.000000	|	-10.822119	6.303854	0.000000
Body 133 : 29003.968626	-19139.058487	0.000000	|	0.952034	-0.637615	0.000000
Body 134 : -14437.804132	-16317.128194	0.000000	|	-0.485045	-0.573265	0.000000
Body 135 : 27988.825453	13393.812178	0.000000	|	0.926021	0.431133	0.000000
Body 136 : -1926.552743	630.814951	0.000000	|	-0.083907	-0.013623	0.000000
Body 137 : 20762.079213	19360.768216	0.000000	|	0.681001	0.641239	0.000000
Body 138 : 29395.289765	-19555.363687	0.000000	|	0.911897	-0.627016	0.000000
Body 139 : -29428.672609	51391.647507	0.000000	|	-0.989391	1.696356	0.000000
Body 140 : -22363.841069	9349.123377	0.000000	|	-0.723273	0.299746	0.000000
Body 141 : 597897.812787	-1918890.713132	0.000000	|	20.926279	-67.144094	0.000000
Body 142 : 19920.605082	-2353.738728	0.000000	|	0.663874	-0.098122	0.000000
Body 143 : -244531.368512	632176.231091	0.000000	|	-8.176310	21.075839	0.000000
Body 144 : -52862.278419	-6377.636357	0.000000	|	-1.764792	-0.225195	0.000000
Body 145 : 150759.635895	87767.997960	0.000000	|	5.115117	2.965498	0.000000
Body 146 : -21078.141939	2471.263529	0.000000	|	-0.679124	0.084792	0.000000
Body 147 : -3730.507298	-10536.571557	0.000000	|	-0.158109	-0.369263	0.000000
Body 148 : 61934.121876	-133247.285185	0.000000	|	2.106519	-4.559261	0.000000
Body 149 : 1314.824010	23540.286017	0.000000	|	0.045438	0.761008	0.000000
Body 150 : -43679.006728	43463.626311	0.000000	|	-1.480836	1.428752	0.000000
